,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
166,CHEMBL119989,CC(=O)/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,33962.53,inactive
167,CHEMBL331759,Brc1ccc2[nH]c3c(c2c1)CCCc1ccccc1-3,859013.52,inactive
168,CHEMBL119932,N#Cc1ccc2c(c1)-c1[nH]c3ccccc3c1CC(=O)N2,449779.85,inactive
169,CHEMBL119963,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2sccc2N1,100.0,active
170,CHEMBL328627,CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,260015.96,inactive
171,CHEMBL330398,COc1cccc2c1NC(=O)Cc1c-2[nH]c2ccc(Br)cc12,399944.75,inactive
172,CHEMBL118406,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccsc1-3,39994.47,inactive
173,CHEMBL120664,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(C#CC3(O)CCCCC3)ccc2N1,8298.51,intermediate
174,CHEMBL118162,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccsc1-3,319.89,active
175,CHEMBL337300,O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12,20.0,active
176,CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,850.0,active
177,CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,28.0,active
178,CHEMBL336961,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,4200.0,intermediate
179,CHEMBL323657,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2sccc2N1,4000.0,intermediate
180,CHEMBL77217,CC(C)c1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,13000.0,inactive
181,CHEMBL134501,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccnc2N1,12000.0,inactive
182,CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,114.0,active
183,CHEMBL334091,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCC1,3000.0,intermediate
