,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
277,295,CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,inactive,318.75600000000003,3.8130000000000033,1.0,3.0,4.301029995663981
279,297,CHEMBL186179,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,active,516.5500000000003,5.365720000000005,1.0,7.0,6.721246399047171
280,298,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,357.435,2.490900000000001,1.0,6.0,6.6020599913279625
281,299,CHEMBL248906,CCCCCCCN(CCc1ccc(O[C@@](C)(CC)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1F,active,490.5910000000002,6.6439000000000075,2.0,3.0,6.5003129173815966
282,300,CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,inactive,318.75600000000003,3.8130000000000033,1.0,3.0,4.6020599913279625
284,302,CHEMBL81592,Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(Cc2ccccc2)C(=O)O)cc1,active,457.5260000000002,5.736320000000005,1.0,5.0,6.308918507877031
285,303,CHEMBL82034,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,457.5260000000002,5.736320000000005,1.0,5.0,7.7447274948966935
287,305,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,357.435,2.490900000000001,1.0,6.0,6.6777807052660805
288,306,CHEMBL370152,O=C(O)c1c(Sc2ccccc2)c2cc(Cl)ccc2n1Cc1ccc(Cl)cc1,active,428.34000000000015,6.845800000000003,1.0,3.0,7.585026652029182
289,307,CHEMBL373237,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)cc1,active,453.4600000000001,7.437300000000005,1.0,3.0,7.920818753952375
